SKU,Stock Location,Stock available level at location,Stock level at location,Stock value at location,Category,ItemTitle,Purchase Price,Due Stock Value,Due,Is Variation Parent,Is Archived
HP- Z BOOK 14 G2-Touch Pen,Default,0,0,0.00,LT-Parts,HP- Z BOOK 14 G2-Touch Pen,0,0,0,FALSE,FALSE
HP- Z BOOK 14 G2-Touchpad,Default,0,0,0.00,LT-Parts,HP- Z BOOK 14 G2-Touchpad,0,0,0,FALSE,FALSE
HP- Z BOOK -C-Panel MB,Default,0,0,0.00,LT-Parts,HP- Z BOOK -C-Panel MB,0,0,0,FALSE,FALSE
HP Z210,Default,0,0,0.00,ENT-Workstations,HP Z210 Desktop,0,0,0,FALSE,FALSE
HP Z440,Default,14,14,280.00,ENT-Workstations,HP Z440 Workstation,20,0,0,FALSE,FALSE
HP Z600,Default,1,1,2.00,Default,HP Z600,2,0,0,FALSE,FALSE
HP- ZBOOK 15-A-Panel,Default,0,0,0.00,LT-Parts,HP- ZBOOK 15-A-Panel,0,0,0,FALSE,FALSE
HP- ZBOOK 15-Battery,Default,0,0,0.00,LT-Parts,HP- ZBOOK 15-Battery,0,0,0,FALSE,FALSE
HP- ZBOOK 15-Bezel,Default,0,0,0.00,LT-Parts,HP- ZBOOK 15-Bezel,0,0,0,FALSE,FALSE
HP- ZBOOK 15-D-Panel,Default,0,0,0.00,LT-Parts,HP- ZBOOK 15-D-Panel,0,0,0,FALSE,FALSE
HP- ZBOOK 15-Keyboard,Default,0,0,0.00,LT-Parts,HP- ZBOOK 15-Keyboard,0,0,0,FALSE,FALSE
HP- ZBOOK 15-LCD,Default,0,0,0.00,LT-Parts,HP- ZBOOK 15-LCD,0,0,0,FALSE,FALSE
HP- ZBOOK 15-Touch Pen,Default,0,0,0.00,LT-Parts,HP- ZBOOK 15-Touch Pen,0,0,0,FALSE,FALSE
HP- ZBOOK 15-Touchpad,Default,0,0,0.00,LT-Parts,HP- ZBOOK 15-Touchpad,0,0,0,FALSE,FALSE
HP- ZBOOK studioG7-C-Panel,Default,0,0,0.00,LT-Parts,HP- ZBOOK studioG7-C-Panel,0,0,0,FALSE,FALSE
HP- Zbookfury15 G3-keyboard,Default,0,0,0.00,LT-Parts,HP- Zbookfury15 G3-keyboard,0,0,0,FALSE,FALSE
HP- Zbookfury15 G5-keyboard,Default,0,0,0.00,Default,HP- Zbookfury15 G5-keyboard,0,0,0,FALSE,FALSE
HP- Zbookfury15 G7-keyboard,Default,0,0,0.00,LT-Parts,HP- Zbookfury15 G7-keyboard,0,0,0,FALSE,FALSE
HP- Zbookfury17 G7-keyboard,Default,0,0,0.00,LT-Parts,HP- Zbookfury17 G7-keyboard,0,0,0,FALSE,FALSE
HP- ZBOOKPOWER G7-C-Panel,Default,0,0,0.00,LT-Parts,HP- ZBOOKPOWER G7-C-Panel,0,0,0,FALSE,FALSE
HP- ZBOOKPOWER G8-C-Panel,Default,0,0,0.00,LT-Parts,HP- ZBOOKPOWER G8-C-Panel,0,0,0,FALSE,FALSE
HP-15-A-Panel,Default,0,0,0.00,LT-Parts,HP-15-A-Panel,0,0,0,FALSE,FALSE
HP-15-Battery,Default,0,0,0.00,LT-Parts,HP-15-Battery,0,0,0,FALSE,FALSE
HP-15-Bezel,Default,0,0,0.00,LT-Parts,HP-15-Bezel,0,0,0,FALSE,FALSE
HP-15-D-Panel,Default,0,0,0.00,LT-Parts,HP-15-D-Panel,0,0,0,FALSE,FALSE
HP-15-Keyboard,Default,0,0,0.00,LT-Parts,HP-15-Keyboard,0,0,0,FALSE,FALSE
HP-15-LCD,Default,0,0,0.00,LT-Parts,HP-15-LCD,0,0,0,FALSE,FALSE
HP15-p196na,Default,0,0,0.00,Default,HP15-p196na,2,0,0,FALSE,FALSE
HP-15-Touch Pen,Default,0,0,0.00,LT-Parts,HP-15-Touch Pen,0,0,0,FALSE,FALSE
HP-15-Touchpad,Default,0,0,0.00,LT-Parts,HP-15-Touchpad,0,0,0,FALSE,FALSE
HP-17-A-Panel,Default,0,0,0.00,LT-Parts,HP-17-A-Panel,0,0,0,FALSE,FALSE
HP-17-Battery,Default,0,0,0.00,LT-Parts,HP-17-Battery,0,0,0,FALSE,FALSE
HP-17-Bezel,Default,0,0,0.00,LT-Parts,HP-17-Bezel,0,0,0,FALSE,FALSE
HP-17-D-Panel,Default,0,0,0.00,LT-Parts,HP-17-D-Panel,0,0,0,FALSE,FALSE
HP-17-Keyboard,Default,0,0,0.00,LT-Parts,HP-17-Keyboard,0,0,0,FALSE,FALSE
HP-17-LCD,Default,0,0,0.00,LT-Parts,HP-17-LCD,0,0,0,FALSE,FALSE
HP-17-Touch Pen,Default,0,0,0.00,LT-Parts,HP-17-Touch Pen,0,0,0,FALSE,FALSE
HP-17-Touchpad,Default,0,0,0.00,LT-Parts,HP-17-Touchpad,0,0,0,FALSE,FALSE
HP200G1SFF,Default,0,0,0.00,PC & Laptop,HP 200G1 SFF,0,0,0,FALSE,FALSE
HP235G7,Default,0,0,0.00,Default,HP235G7,5,0,0,FALSE,FALSE
HP240G7,Default,0,0,0.00,Default,HP240G7,5,0,0,FALSE,FALSE
HP250,Default,1,1,1.00,Default,HP250,1,0,0,FALSE,FALSE
HP250G5,Default,0,0,0.00,Default,HP250G5,5,0,0,FALSE,FALSE
HP250G6,Default,0,0,0.00,Default,HP250G6,5,0,0,FALSE,FALSE
Hp250g8,Default,0,0,0.00,Default,250g8 i5-8th,55,0,0,FALSE,FALSE
HP255,Default,0,0,0.00,Default,HP255,1,0,0,FALSE,FALSE
HP255G1,Default,0,0,0.00,Default,HP255G1,3,0,0,FALSE,FALSE
HP255SFF,Default,0,0,0.00,PC & Laptop,HP 255 SFF,0,0,0,FALSE,FALSE
HP-2570-HSTNN-416X,Default,1,1,0.00,Default,HP Elitebook 2570 Docking Station Port Replicator - HSTNN-416X,0,0,0,FALSE,FALSE
HP260,Default,45,45,45.00,Default,HP260,1,0,0,FALSE,FALSE
HP260G1,Default,0,0,0.00,PC & Laptop,HP260G1,2.11022,0,0,FALSE,FALSE
HP260G1DM,Default,0,0,0.00,Default,HP260G1DM,3,0,0,FALSE,FALSE
HP260G2MINI,Default,3,3,6.00,PC & Laptop,HP 260G2 MINI,2,0,0,FALSE,FALSE
HP260G2SFF,Default,0,0,0.00,Default,HP260G2SFF,2,0,0,FALSE,FALSE
HP260G3MINI,Default,1,1,3.00,PC & Laptop,HP 260G3 MINI,3,0,0,FALSE,FALSE
HP260SFF,Default,21,21,21.00,PC & Laptop,HP 260 SFF,1,0,0,FALSE,FALSE
HP26D4U9S8ME-8X,Default,0,0,0.00,GAMING RAM,KINGSTON HYPERX FURY 8GB (1 x 8GB) DDR4 2666MHz Memory RAM HP26D4U9S8ME-8X,3.449643273,0,0,FALSE,FALSE
HP280,Default,7,7,14.00,Default,HP280,2,0,0,FALSE,FALSE
HP280G1,Default,0,0,0.00,PC & Laptop,HP280G1,2.11022,0,0,FALSE,FALSE
HP280G1TWR,Default,0,0,0.00,Default,HP280G1TWR,3,0,0,FALSE,FALSE
HP280G2,Default,0,0,0.00,Default,HP280G2,2,0,0,FALSE,FALSE
HP280G2MT,Default,1,1,2.00,PC & Laptop,HP 280G2 MT,2,0,0,FALSE,FALSE
HP280G2SFF,Default,0,0,0.00,PC & Laptop,HP 280G2 SFF,2,0,0,FALSE,FALSE
