ItemNumber,Location,FinalStockLevel,FinalStockValue,PurchasePrice
5570-UF,Default,4.0,306.44,76.61
557M9-LP,Default,0.0,0.0,0.01
5580-UF,Default,5.0,377.3,75.46
5580-UF,Sharjah Warehouse1,3.0,226.38,75.46
5581-UF,Default,0.0,0.0,97.27
5590-UF,Default,5.0,500.1204085714285,100.0240817142857
5590-UF,Sharjah Warehouse1,2.0,200.048571673469,100.0242858367345
5591-UF,Default,0.0,0.0,84.63
5593-UF,Default,0.0,0.0,107.6199
5610-SPEC1,Default,2.0,38.72,19.36
57-1000117-01,Default,3.0,0.03,0.01
571521-001,Default,1.0,0.01,0.01
5810-SPEC1,Default,1.0,120.0,120.0
5810-SPEC2,Default,2.0,31.63,15.815
5810-SPEC3,Default,0.0,0.0,15.814736
5810-SPEC4,Default,2.0,31.624736,15.812368
5810-SPEC5,Default,2.0,38.72,19.36
5810-SPEC6,Default,0.0,0.0,19.36
582937-001,Default,2.0,0.02,0.01
593720-001-HP,Default,0.0,0.0,0.213092
593720-001-LP,Default,0.0,0.0,0.01
593836-001,Default,0.0,0.0,0.0
597609-003+G8,Default,0.0,0.0,0.85237
599476-003+G8,Default,0.0,0.0,0.0
5H3XX,Default,6.0,12.0,2.0
5JH5X-PE,Default,8.0,24.0,3.0
5N7Y5-LP,Default,0.0,0.0,0.01
5WXF7,Default,0.0,0.0,2.0
604-A43-1CE,Default,0.0,0.0,0.0
60GBMSATA,Default,0.0,0.0,0.3
611-B0E-A56,Default,0.0,0.0,0.0
615406-001,Default,1.0,0.01,0.01
615406-001HP,Default,1.0,0.01,0.01
615730-001-HP,Default,1.0,0.01,0.01
616074-001-HP,Default,0.0,0.0,0.102978
616075-001,Default,1.0,5.0,5.0
617727-001,Default,32.0,0.32,0.01
624499-002-HP,Default,2.0,0.02,0.01
626-2D7-FA5,Default,0.0,0.0,68.58083
632429-003,Default,9.0,72.22,8.024444444444445
633537-001,Default,0.0,0.0,0.0
634025-001,Default,1.0,0.01,0.01
640G2-UF,Default,0.0,0.0,60.0
640G3-UF,Default,0.0,0.0,94.285
640G3-UF,Sharjah Warehouse1,1.0,94.285,94.285
640G4-UF,Default,1.0,87.19,87.19
640G5-UF,Default,1.0,114.715,114.715
640G5-UF,Sharjah Warehouse1,1.0,114.715,114.715
641552-003+caddyg7,Default,3.0,0.26,0.08666666666666667
641552-003+G8,Default,35.0,29.83,0.8522857142857142
647579-001,Default,1.0,0.89,0.89
647592-001-HP,Default,8.0,18.18,2.2725
647592-001-LP,Default,0.0,0.0,0.01
649327-001,Default,1.0,8.0,8.0
64GBMSATA,Default,0.0,0.0,0.409
650G2-UF,Default,0.0,0.0,92.42
650G4-UF,Default,0.0,0.0,103.2689486
650G4-UF,Sharjah Warehouse1,1.0,103.27,103.27
650G5-UF,Default,0.0,0.0,111.5788464
652495-002-HP,Default,1.0,0.01,0.01
652625-002,Default,0.0,0.0,0.2
654840-001,Default,1.0,0.01,0.01
656241-001-LP,Default,0.0,0.0,0.01
656244-001-HP,Default,2.0,1.7,0.85
656452-001,Default,1.0,0.0,0.0
657128-001,Default,0.0,0.0,0.01
660093-001,Default,1.0,0.26,0.26
660183-001,Default,22.0,4.14,0.18818181818181817
660184-001,Default,0.0,0.0,0.01
661914-001,Default,6.0,2.55,0.425
662538-001,Default,0.0,0.0,0.0
667882-001,Default,0.0,0.0,0.13
669280-001,Default,1.0,0.01,0.01
669282-001,Default,30.0,0.3,0.01
671136-001,Default,0.0,0.0,5.0
6850-P24L,Default,1.0,4.0,4.0
689287-003+G8,Default,11.0,9.379333333333333,0.8526666666666666
693569-003+G8,Default,3.0,2.556,0.852
693569-004,Default,2.0,4.5,2.25
693569-007+G8,Default,0.0,0.0,0.85237
697889-001,Default,2.0,0.02,0.01
699-5G400-0501-112,Default,1.0,0.1,0.1
69C-76A-05D,Default,0.0,0.0,0.0
69Y5284,Default,0.0,0.0,0.01
6FV4P,Default,0.0,0.0,2.0
6H1G0,Default,0.0,0.0,5.0
6N9RH,Default,0.0,0.0,0.01
6PinTo8PinGPUcable,Default,200.0,144.0,0.72
700-08209-01,Default,5.0,0.05,0.01
700-45645-01,Default,16.0,27.25,1.703125
701531-001,Default,1.0,0.01,0.01
701534-001,Default,2.0,0.02,0.01
7051223,Default,4.0,0.04,0.01
707251-001-HP,Default,0.0,0.0,0.01
708046-001,Default,0.0,0.0,2.0
7085208-LP,Default,0.0,0.0,1.702997
7097377,Default,0.0,0.0,10.0
718159-002,Default,0.0,0.0,2.0
718159-002+caddy-no-label,Default,0.0,0.0,0.0
719212-001,Default,1.0,0.01,0.01
724861-012,Default,0.0,0.0,0.0
726480-001+G8,Default,0.0,0.0,0.9940948
7270-UF,Default,1.0,63.97,63.97
7270-UF,Sharjah Warehouse1,1.0,63.97,63.97
7275-UF,Default,0.0,0.0,84.715
727695-001,Default,0.0,0.0,0.6902847902
7280-UF,Default,2.0,127.28,63.64000000000001
7280-UF,Sharjah Warehouse1,2.0,127.28,63.64
7290-UF,Default,1.0,93.89,93.89
729636-001-LP,Default,1.0,0.01,0.01
7300-UF,Default,0.0,0.0,79.33333333333333
7300-UF,Sharjah Warehouse1,5.0,390.0,78.0
7306-UF,Default,0.0,0.0,0.0
73-10886-03,Default,2.0,0.2,0.1
7310-UF,Default,0.0,0.0,95.0
7310-UF,Sharjah Warehouse1,1.0,95.0,95.0
73-11956-06,Default,0.0,0.0,0.0
73-11956-08,Default,1.0,0.01,0.01
73-12908-01,Default,0.0,0.0,0.1
73-12950-01,Default,1.0,0.1,0.1
73-12953-01,Default,0.0,0.0,0.1
73-12954-01,Default,0.0,0.0,0.1
73-13372-02,Default,1.0,0.1,0.1
73-13419-01,Default,1.0,0.1,0.1
73-13420-01,Default,0.0,0.0,0.1
732136-001,Default,24.0,8.418461538461537,0.3507692307692307
73-2849-04,Default,2.0,0.2,0.1
7332895-LP,Default,0.0,0.0,0.01
73-3663-05,Default,3.0,0.3,0.09999999999999999
73-4346-05,Default,1.0,0.1,0.1
73-4771-09,Default,2.0,0.2,0.1
735g5-UF,Default,0.0,0.0,0.0
735g6-UF,Default,0.0,0.0,86.1
735g6-UF,Sharjah Warehouse1,1.0,86.0959,86.0959
7370-UF,Default,0.0,0.0,71.786701
